,Game of Throws_VS_Kindha's Disappointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kyle Sprysa,Pass,Kevin Hughes,Pass,Justine Price,Pass,Chris Tran,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher Kraft,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Edwin Wong,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Nick Vetvut,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Patrick Gauvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Christopher Kraft,Pass,Kirsten Querbach,Pass,Sandra Hanson,Pass,Patrick Gauvin,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Patrick Gauvin,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Chris Tran,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Matt Masse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Cassandra Cheung,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
