Stan's Sturgeons,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Parity,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pull,Frederic Caron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Adam MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,Amos Lee,Pass,Jamie Wildgen,Pass,Amos Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Adam MacDonald,D+,Amos Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Alex Bush,D+,David O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Andre Scott,D+,Frederic Caron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Kyle Sprysa,D+,Jamie Wildgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Jessie Robinson,D+,karin phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Laura Chambers Storey,D+,Tanya Gallant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Nick Klimowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,Stacey Wowchuk,Pass,Amos Lee,Pass,Stanley Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Alex Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Amos Lee,Pass,Stacey Wowchuk,Pass,James Maeng,Pass,Stanley Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Andre Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Throw Away,Greg Cormier,Pass,Nick Klimowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Rob Tyson,Pass,Kathryn Jarrett-Ekholm,Pass,Amos Lee,Pass,Stanley Kent,Pass,James Maeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Hope Celani,Pass,Ewelina Sosnowska,Pass,Nick Klimowicz,Pass,Alex Bush,Pass,Ewelina Sosnowska,Pass,Nick Klimowicz,Pass,Andre Scott,Pass,Alex Bush,Pass,Ewelina Sosnowska,Pass,Nick Klimowicz,Pass,Alex Bush,,,,,,,,,,,,,,,,
,O+,Alex Bush,D-,Amos Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Andre Scott,D-,James Maeng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Greg Cormier,D-,Rob Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Nick Klimowicz,D-,Stanley Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Ewelina Sosnowska,D-,Stacey Wowchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Hope Celani,D-,Kathryn Jarrett-Ekholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Throw Away,Jamie Wildgen,Pass,Frederic Caron,Pass,David O'Connor,Pass,karin phillips,Pass,Jamie Wildgen,Pass,Tanya Gallant,Pass,Frederic Caron,,,,,,,,,,,,,,,,,,,,,,,,
,D,Adam MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,Drop,Kyle Sprysa,Pass,Alex Bush,Pass,Jessie Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,Drop,karin phillips,Pass,Jamie Wildgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,POINT,Kyle Sprysa,Pass,Jessie Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,David O'Connor,D+,Adam MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Frederic Caron,D+,Alex Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Jamie Wildgen,D+,Jeff Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Rob Tyson,D+,Kyle Sprysa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,karin phillips,D+,Jessie Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O-,Tanya Gallant,D+,Laura Chambers Storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,POINT,James Maeng,Pass,Amos Lee,Pass,Stanley Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Amos Lee,D-,Adam MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Frederic Caron,D-,Andre Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,James Maeng,D-,Greg Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O+,Stanley Kent,D-,Nick Klimowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
